id,category,name,url,accessed_at,source_type,status,notes
src-001,card-api,Scryfall API docs,https://scryfall.com/docs/api,2026-05-24T23:04:24Z,official-docs,live,"No-auth REST and bulk data API; primary card/oracle/ruling/image metadata source."
src-002,card-api,Scryfall bulk-data endpoint,https://api.scryfall.com/bulk-data,2026-05-24T23:04:24Z,api,probed,"Live probe captured oracle/default/all-card bulk download URIs and sizes."
src-003,card-data,MTGJSON home,https://mtgjson.com/,2026-05-24T23:04:24Z,official-docs,live,"Normalized Magic JSON datasets; good for set/product/deck/identifier joins."
src-004,card-data,MTGJSON Meta,https://mtgjson.com/api/v5/Meta.json,2026-05-24T23:04:24Z,api,probed,"Live probe returned version 5.3.0+20260524."
src-005,legacy-api,magicthegathering.io docs,https://docs.magicthegathering.io/,2026-05-24T22:00:00Z,official-docs,reviewed,"Older REST API; useful as reference but weaker than Scryfall/MTGJSON for new work."
src-006,limited-data,17Lands public datasets,https://www.17lands.com/public_datasets,2026-05-24T23:04:24Z,website,head-probed,"Use public dumps; avoid scraping unstable UI endpoints."
src-007,limited-data,17Lands usage guidelines,https://www.17lands.com/usage_guidelines,2026-05-24T23:04:24Z,website,head-probed,"Guidelines distinguish public datasets from curated site data and discourage automated API scraping."
src-008,combo-data,Commander Spellbook API root,https://backend.commanderspellbook.com/,2026-05-24T23:04:24Z,api,probed,"Root exposes variants/cards/features/find-my-combos endpoints."
src-009,combo-data,Commander Spellbook OpenAPI schema,https://backend.commanderspellbook.com/schema/,2026-05-24T23:04:24Z,api,probed,"OpenAPI 3.0.3 schema for combo database engine."
src-010,engine,Argentum Engine,https://github.com/wingedsheep/argentum-engine,2026-05-24T23:05:00Z,github,cloned-tested,"Gym/gym-server/gym-trainer tests pass locally under JDK 21; MIT license in repo."
src-011,engine,mage-bench,https://github.com/GregorStocks/mage-bench,2026-05-24T23:20:00Z,github,cloned-build-run,"XMage-based LLM benchmark; Python smoke and Maven compile pass; CPU game reached GAME_OVER but needed manual interrupt for export lifecycle."
src-012,engine,XMage,https://github.com/magefree/mage,2026-05-24T23:04:24Z,github,metadata-probed,"MIT Java full rules engine; mage-bench uses a fork/bridge on top."
src-013,engine,Forge,https://github.com/Card-Forge/forge,2026-05-24T23:04:24Z,github,metadata-probed,"Mature GPL Java engine/game with AI and broad card support."
src-014,client-tool,Cockatrice,https://github.com/Cockatrice/Cockatrice,2026-05-24T23:04:24Z,github,metadata-probed,"Open-source multiplayer tabletop card client; useful for playtest UX but not rules-enforced benchmark core."
src-015,draft-tool,Draftmancer,https://github.com/Senryoku/Draftmancer,2026-05-24T23:04:24Z,github,metadata-probed,"Open-source TypeScript draft/sealed simulator; useful for draft UI/task generation."
src-016,cube-tool,CubeCobra,https://github.com/dekkerglen/CubeCobra,2026-05-24T23:04:24Z,github,metadata-probed,"Open-source cube management app; good cube/decklist product reference."
src-017,engine,Magarena,https://github.com/magarena/magarena,2026-05-24T23:04:24Z,github,metadata-probed,"Older Java AI/rules project; stale relative to active engines."
src-018,engine,Wagic,https://github.com/WagicProject/wagic,2026-05-24T23:04:24Z,github,metadata-probed,"Open-source C++ MTG-like engine with active recent pushes."
src-019,benchmark,MTG-Causal-RL paper,https://arxiv.org/abs/2605.06066,2026-05-24T22:30:00Z,paper,reviewed,"Gymnasium MTG benchmark with partial observations, masked action space, standard archetypes, causal variables."
src-020,benchmark,mage-bench site,https://mage-bench.com/docs/about/,2026-05-24T22:30:00Z,website,reviewed,"Public LLM-vs-MTG benchmark built around XMage bridge."
src-021,benchmark,BALROG,https://balrogai.com/,2026-05-24T22:30:00Z,website,reviewed,"LLM/VLM long-horizon game benchmark reference."
src-022,benchmark,GameWorld,https://gameworld-project.github.io/,2026-05-24T22:30:00Z,website,reviewed,"Game-agent benchmark with state-verifiable scoring."
src-023,benchmark,VideoGameBench,https://vgbench.com/,2026-05-24T22:30:00Z,website,reviewed,"VLM game benchmark; useful latency/pause-mode precedent."
src-024,ccg-rl,gym-locm,https://pypi.org/project/gym-locm/,2026-05-24T22:30:00Z,package-docs,reviewed,"Gymnasium environment for Legends of Code and Magic; relevant CCG benchmark precedent."
src-025,draft-llm,UrzaGPT paper,https://arxiv.org/abs/2508.08382,2026-05-24T23:20:00Z,paper,reviewed,"LoRA-tuned LLM for real-time MTG draft decisions from annotated draft logs."
src-026,deck-benchmark,ManaBench,https://boggs.tech/posts/evaluating-llm-reasoning-with-mtg-deck-building/,2026-05-24T23:20:00Z,blog-benchmark,reviewed,"Deck-completion benchmark: choose the 60th card from six options for a tournament deck."
